"","R10.0_45.0","R12.5_45.0","R10.0_42.5","R12.5_42.5"
"1979-01-01 00:00:00",90960,91700,97700,97210
"1979-01-01 06:00:00",91270,91890,97820,97440
"1979-01-01 12:00:00",91290,91810,97780,97200
"1979-01-01 18:00:00",91650,92120,97680,97130
"1979-01-02 00:00:00",92160,92690,98050,97310
"1979-01-02 06:00:00",92420,93040,98470,97860
"1979-01-02 12:00:00",92790,93380,98920,98310
"1979-01-02 18:00:00",93170,93790,99430,98840
"1979-01-03 00:00:00",93020,93740,99690,99200
"1979-01-03 06:00:00",93130,93830,99670,99350
"1979-01-03 12:00:00",93200,93820,99730,99320
"1979-01-03 18:00:00",93020,93790,99570,99240
"1979-01-04 00:00:00",92660,93470,99220,99000
"1979-01-04 06:00:00",92400,93220,98770,98610
"1979-01-04 12:00:00",91940,92980,98100,98180
"1979-01-04 18:00:00",91830,92780,97750,97710
"1979-01-05 00:00:00",92090,92870,98130,97750
"1979-01-05 06:00:00",92540,93440,98720,98520
"1979-01-05 12:00:00",92790,93660,98980,98740
"1979-01-05 18:00:00",92770,93710,98990,98840
"1979-01-06 00:00:00",93010,93940,99130,99040
"1979-01-06 06:00:00",93020,93930,99030,98930
"1979-01-06 12:00:00",93460,94310,99610,99370
"1979-01-06 18:00:00",93460,94300,99570,99300
"1979-01-07 00:00:00",93960,94810,100070,99730
"1979-01-07 06:00:00",94170,95080,100390,100130
"1979-01-07 12:00:00",94450,95350,100690,100450
"1979-01-07 18:00:00",94300,95140,100790,100440
"1979-01-08 00:00:00",94440,95310,100770,100580
"1979-01-08 06:00:00",94140,94960,100670,100470
"1979-01-08 12:00:00",94230,95050,100700,100450
"1979-01-08 18:00:00",93840,94710,100220,100170
"1979-01-09 00:00:00",93570,94440,99860,99740
"1979-01-09 06:00:00",93100,94030,99320,99330
"1979-01-09 12:00:00",92750,93690,98910,98940
"1979-01-09 18:00:00",92340,93190,98610,98520
"1979-01-10 00:00:00",92080,92860,98280,97940
"1979-01-10 06:00:00",92220,92860,98330,97890
"1979-01-10 12:00:00",92200,92880,98540,97990
"1979-01-10 18:00:00",91790,92640,98340,98060
"1979-01-11 00:00:00",90980,92030,97740,97690
"1979-01-11 06:00:00",90680,91440,97220,96990
"1979-01-11 12:00:00",90700,91170,97120,96570
"1979-01-11 18:00:00",91000,91700,97330,96980
"1979-01-12 00:00:00",91140,91900,97330,96950
"1979-01-12 06:00:00",91430,92150,97790,97310
"1979-01-12 12:00:00",91680,92330,98040,97590
"1979-01-12 18:00:00",91790,92590,98050,97670
"1979-01-13 00:00:00",92070,92790,98330,97930
"1979-01-13 06:00:00",92410,93080,98560,98190
"1979-01-13 12:00:00",92750,93410,98890,98460
"1979-01-13 18:00:00",93070,93690,99160,98640
"1979-01-14 00:00:00",93190,93800,99390,98910
"1979-01-14 06:00:00",93460,94190,99640,99250
"1979-01-14 12:00:00",93640,94320,99920,99530
"1979-01-14 18:00:00",93500,94290,99720,99440
"1979-01-15 00:00:00",93550,94240,99800,99480
"1979-01-15 06:00:00",93620,94320,99780,99480
"1979-01-15 12:00:00",93540,94200,99720,99390
"1979-01-15 18:00:00",93530,94360,99600,99340
"1979-01-16 00:00:00",93590,94300,99810,99510
"1979-01-16 06:00:00",93520,94250,99700,99420
"1979-01-16 12:00:00",93430,94160,99630,99310
"1979-01-16 18:00:00",93460,94260,99580,99250
"1979-01-17 00:00:00",93240,94020,99590,99220
"1979-01-17 06:00:00",93190,94070,99590,99240
"1979-01-17 12:00:00",93030,93930,99480,99140
"1979-01-17 18:00:00",93150,94030,99540,99260
"1979-01-18 00:00:00",93250,94110,99570,99290
"1979-01-18 06:00:00",93100,93910,99510,99230
"1979-01-18 12:00:00",93210,94130,99610,99410
"1979-01-18 18:00:00",93140,94020,99500,99360
"1979-01-19 00:00:00",93180,94120,99550,99420
"1979-01-19 06:00:00",93140,94020,99480,99330
"1979-01-19 12:00:00",93080,94080,99440,99370
"1979-01-19 18:00:00",93270,94230,99500,99450
"1979-01-20 00:00:00",93260,94190,99500,99400
"1979-01-20 06:00:00",93130,93970,99470,99280
"1979-01-20 12:00:00",93200,94040,99530,99390
"1979-01-20 18:00:00",93230,94090,99480,99380
"1979-01-21 00:00:00",93290,94170,99440,99350
"1979-01-21 06:00:00",93210,94130,99360,99320
"1979-01-21 12:00:00",93230,94120,99380,99280
"1979-01-21 18:00:00",93190,94160,99400,99380
"1979-01-22 00:00:00",93260,94130,99480,99410
"1979-01-22 06:00:00",93060,93930,99310,99260
"1979-01-22 12:00:00",93120,94030,99320,99320
"1979-01-22 18:00:00",92880,93760,99100,99080
"1979-01-23 00:00:00",92820,93710,99020,98950
"1979-01-23 06:00:00",92600,93410,98750,98600
"1979-01-23 12:00:00",92490,93350,98580,98450
"1979-01-23 18:00:00",92290,93000,98460,98250
"1979-01-24 00:00:00",92460,93220,98700,98360
"1979-01-24 06:00:00",92260,93030,98500,98220
"1979-01-24 12:00:00",92010,92840,98430,98140
"1979-01-24 18:00:00",91780,92510,98130,97840
"1979-01-25 00:00:00",91780,92600,97950,97740
"1979-01-25 06:00:00",91510,92400,97630,97420
"1979-01-25 12:00:00",91640,92610,97730,97490
"1979-01-25 18:00:00",91500,92370,97660,97320
"1979-01-26 00:00:00",91730,92500,98020,97630
"1979-01-26 06:00:00",91720,92440,98090,97690
"1979-01-26 12:00:00",91840,92640,98250,97980
"1979-01-26 18:00:00",91950,92750,98350,98170
"1979-01-27 00:00:00",91860,92780,98210,98160
"1979-01-27 06:00:00",91800,92770,98230,98210
"1979-01-27 12:00:00",91510,92520,98080,98060
"1979-01-27 18:00:00",91200,92160,97900,97820
"1979-01-28 00:00:00",91150,92150,97770,97700
"1979-01-28 06:00:00",91220,92250,97730,97670
"1979-01-28 12:00:00",91210,92110,97630,97470
"1979-01-28 18:00:00",91240,92210,97570,97510
"1979-01-29 00:00:00",91360,92170,97740,97510
"1979-01-29 06:00:00",91590,92380,97700,97420
"1979-01-29 12:00:00",91560,92170,97890,97300
"1979-01-29 18:00:00",91790,92320,98140,97600
"1979-01-30 00:00:00",91940,92600,98410,97950
"1979-01-30 06:00:00",91910,92760,98480,98190
"1979-01-30 12:00:00",92110,92900,98500,98180
"1979-01-30 18:00:00",91880,92700,98370,98060
"1979-01-31 00:00:00",91970,92670,98360,97970
"1979-01-31 06:00:00",92370,93040,98470,98000
"1979-01-31 12:00:00",92910,93470,99050,98480
"1979-01-31 18:00:00",92960,93600,99160,98670
"1979-02-01 00:00:00",93180,94020,99580,99250
"1979-02-01 06:00:00",93080,93870,99530,99200
"1979-02-01 12:00:00",92830,93660,99420,99150
"1979-02-01 18:00:00",92600,93370,99190,98950
"1979-02-02 00:00:00",92340,93220,98930,98800
"1979-02-02 06:00:00",92240,93050,98720,98650
"1979-02-02 12:00:00",91990,92850,98390,98210
