"","R10.0_45.0","R12.5_45.0","R10.0_42.5","R12.5_42.5"
"1979-01-01 00:00:00",69,69,56,59
"1979-01-01 06:00:00",74,79,72,80
"1979-01-01 12:00:00",86,80,70,67
"1979-01-01 18:00:00",79,81,67,70
"1979-01-02 00:00:00",100,100,95,90
"1979-01-02 06:00:00",78,74,86,79
"1979-01-02 12:00:00",15,31,32,34
"1979-01-02 18:00:00",80,67,91,70
"1979-01-03 00:00:00",17,-5.6843418860808e-14,47,14
"1979-01-03 06:00:00",81,69,61,51
"1979-01-03 12:00:00",35,39,48,54
"1979-01-03 18:00:00",41,60,36,52
"1979-01-04 00:00:00",58,32,84,60
"1979-01-04 06:00:00",76,62,96,68
"1979-01-04 12:00:00",85,64,100,85
"1979-01-04 18:00:00",100,93,100,100
"1979-01-05 00:00:00",87,100,67,97
"1979-01-05 06:00:00",68,73,62,82
"1979-01-05 12:00:00",44,50,49,51
"1979-01-05 18:00:00",51,44,62,52
"1979-01-06 00:00:00",50,39,70,69
"1979-01-06 06:00:00",62,62,82,88
"1979-01-06 12:00:00",41,44,71,80
"1979-01-06 18:00:00",45,45,64,72
"1979-01-07 00:00:00",28,41,59,79
"1979-01-07 06:00:00",22,32,47,62
"1979-01-07 12:00:00",21,25,22,27
"1979-01-07 18:00:00",21,14,21,13
"1979-01-08 00:00:00",36,30,10,15
"1979-01-08 06:00:00",40,23,26,14
"1979-01-08 12:00:00",38,16,21,2
"1979-01-08 18:00:00",57,25,40,21
"1979-01-09 00:00:00",92,69,78,62
"1979-01-09 06:00:00",93,86,99,91
"1979-01-09 12:00:00",100,100,99,97
"1979-01-09 18:00:00",100,100,98,98
"1979-01-10 00:00:00",92,100,97,99
"1979-01-10 06:00:00",99,100,96,99
"1979-01-10 12:00:00",53,83,54,69
"1979-01-10 18:00:00",64,74,53,71
"1979-01-11 00:00:00",89,96,86,89
"1979-01-11 06:00:00",100,100,100,100
"1979-01-11 12:00:00",44,77,75,84
"1979-01-11 18:00:00",74,68,81,77
"1979-01-12 00:00:00",38,55,74,88
"1979-01-12 06:00:00",70,55,57,67
"1979-01-12 12:00:00",59,70,67,62
"1979-01-12 18:00:00",93,90,72,68
"1979-01-13 00:00:00",43,32,47,36
"1979-01-13 06:00:00",70,43,58,45
"1979-01-13 12:00:00",41,33,46,25
"1979-01-13 18:00:00",72,81,49,47
"1979-01-14 00:00:00",22,32,28,38
"1979-01-14 06:00:00",47,62,34,36
"1979-01-14 12:00:00",27,27,8,14
"1979-01-14 18:00:00",53,66,32,41
"1979-01-15 00:00:00",31,24,21,17
"1979-01-15 06:00:00",38,58,25,27
"1979-01-15 12:00:00",24,31,25,24
"1979-01-15 18:00:00",60,79,38,48
"1979-01-16 00:00:00",22,41,33,46
"1979-01-16 06:00:00",41,65,37,49
"1979-01-16 12:00:00",37,43,21,26
"1979-01-16 18:00:00",62,81,44,44
"1979-01-17 00:00:00",47,64,44,49
"1979-01-17 06:00:00",75,78,59,54
"1979-01-17 12:00:00",65,61,34,36
"1979-01-17 18:00:00",91,79,65,63
"1979-01-18 00:00:00",82,73,65,40
"1979-01-18 06:00:00",84,73,63,44
"1979-01-18 12:00:00",63,59,60,47
"1979-01-18 18:00:00",72,59,52,33
"1979-01-19 00:00:00",43,46,59,46
"1979-01-19 06:00:00",38,35,68,57
"1979-01-19 12:00:00",21,16,48,39
"1979-01-19 18:00:00",40,32,83,74
"1979-01-20 00:00:00",50,38,80,69
"1979-01-20 06:00:00",68,48,100,83
"1979-01-20 12:00:00",91,61,94,76
"1979-01-20 18:00:00",100,85,100,100
"1979-01-21 00:00:00",94,88,100,99
"1979-01-21 06:00:00",89,85,95,100
"1979-01-21 12:00:00",100,93,91,99
"1979-01-21 18:00:00",100,99,91,100
"1979-01-22 00:00:00",97,96,78,95
"1979-01-22 06:00:00",91,85,80,88
"1979-01-22 12:00:00",87,95,96,99
"1979-01-22 18:00:00",86,83,77,76
"1979-01-23 00:00:00",91,93,95,88
